name,ring,quadrant,isNew,description
Test-driven development,Adopt,Techniques,TRUE,"Is a software development process relying on software requirements being converted to test cases before software is fully developed, and tracking all software development by repeatedly testing the software against all test cases. This is opposed to software being developed first and test cases created later. Following the patterns like YAGNY.</br>
<a href=""https://en.wikipedia.org/wiki/Test-driven_development"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
pair programming,Adopt,Techniques,TRUE,"Pair programming is an agile software development technique in which two programmers work together at one workstation. One, the driver, writes code while the other, the observer or navigator, reviews each line of code as it is typed in. The two programmers switch roles frequently. While reviewing, the observer also considers the ""strategic"" direction of the work, coming up with ideas for improvements and likely future problems to address. This is intended to free the driver to focus all of their attention on the ""tactical"" aspects of completing the current task, using the observer as a safety net and guide.</br>
<a href=""https://en.wikipedia.org/wiki/Pair_programming"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
You build it you run it,Adopt,Techniques,TRUE,"Developers take care of deploying and maintaining the health of their owned services.</br>
<a href=""https://simplicable.com/new/you-build-it-you-run-it"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Feature Toggles,Adopt,Techniques,TRUE,"A feature toggle (also feature switch, feature flag, feature gate, feature flipper, conditional feature, etc.) is a technique in software development that attempts to provide an alternative to maintaining multiple branches in source code (known as feature branches), such that a software feature can be tested even before it is completed and ready for release. A feature toggle is used to hide, enable or disable the feature during runtime. For example, during the development process, a developer can enable the feature for testing and disable it for other users.</br>
<a href=""https://en.wikipedia.org/wiki/Feature_toggle"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Schema Evolution in code,Adopt,Techniques,TRUE,"Schema migrations is part of the natural evolution of software. This process needs to be automatable this helps reproducibility of systems, issue managament and the capability of performing CD. We Recommend 2 options based on needs:</br>
- Pipeline migrations: Let the CI system perform the migration before deployment.</br>
- Source Code migrations: As a prestep of your code run the migrations. </br>
<a href=""https://en.wikipedia.org/wiki/Feature_toggle"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Trunk Based Development,Trial,Techniques,TRUE,"Is a version control management practice where developers merge small, frequent updates to a core “trunk” or main branch. Since it streamlines merging and integration phases, it helps achieve CI/CD and increases software delivery and organizational performance.</br>
- Source Code migrations: As a prestep of your code run the migrations. </br>
<a href=""https://www.atlassian.com/continuous-delivery/continuous-integration/trunk-based-development"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Option or Either Monads as first approach,Trial,Techniques,TRUE,"Using these monads you will get rid of a series of bugs like null-pointer exceptions, unhandled exceptions, and race conditions. They are an option to error management and 3rd state situation  that can solve the duality of managing or inventing conventions to handle these cases. </br>
- Source Code migrations: As a prestep of your code run the migrations. An important example is <a href=""https://www.atlassian.com/continuous-delivery/continuous-integration/trunk-based-development"">NULL the Billion dolar mistake</a></br>
<a href=""https://www.toptal.com/javascript/option-maybe-either-future-monads-js"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
UI/BFF shared types,Trial,Techniques,TRUE,"In this technique, a single set of type definitions is used to define both the data objects returned by front-end queries and the data served to satisfy those queries by the back-end server. Ordinarily, we would be cautious about this practice because of the unnecessarily tight coupling it creates across process boundaries. However, many teams are finding that the benefits of this approach outweigh any risks of tight coupling. Since the BFF pattern works best when the same team owns both the UI code and the BFF, often storing both components in the same repository, the UI/BFF pair can be viewed as a single cohesive system.</br>
<a href=""https://blog.bitsrc.io/sharing-types-between-backend-and-frontend-with-the-bff-pattern-553872842463"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Story Mapping,Trial,Techniques,TRUE,"User story mapping is a visual exercise that helps product managers and their development teams define the work that will create the most delightful user experience. It is used to improve teams’ understanding of their customers and to prioritize work. </br>
In user story mapping, teams create a dynamic outline of a representative user’s interactions with the product, evaluate which steps have the most benefit for the user, and prioritize what should be built next. For agile organizations, it provides an alternative to building a flat list of backlog items or working from lengthy requirements documents.</br>
<a href=""https://www.aha.io/roadmapping/guide/release-management/what-is-user-story-mapping"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Single Environment,Trial,Techniques,TRUE,"We should be looking to do CD and integrate in a single environment this helps in our response time to issues, and also will allow us to make sure we validate things with the real situation and performance. Reducing costs at the same time.</br>
<a href=""https://paulosman.me/2019/12/30/production-oriented-development/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Data Mesh,Assess,Techniques,TRUE,"A domain-driven analytical data architecture where data is treated as a product and owned by teams that most intimately know and consume the data. It federate data ownership among domains and the teams that own them.</br>
<a href=""https://martinfowler.com/articles/data-monolith-to-mesh.html"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br> "
Web Components,Assess,Techniques,TRUE,"Web Components is a suite of different technologies allowing you to create reusable custom elements — with their functionality encapsulated away from the rest of your code — and utilize them in your web apps.</br>
<a href=""https://developer.mozilla.org/en-US/docs/Web/Web_Components"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br> "
Micro-Frontend,Assess,Techniques,TRUE,"an architectural style where independently deliverable frontend applications are composed into a greater whole. A Micro-Frontend is a portion of a webpage (not the entire page). In the Micro-Frontend Architecture, there is a ""Host"" or a ""Container""page that can host one or more Micro-Frontends. The Host/Container page can also share some of its own Micro-Frontend components.</br>
<a href=""https://martinfowler.com/articles/micro-frontends.html"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br> "
Team Cognitive Load,Assess,Techniques,TRUE,"Team interaction is one of the variables for how fast and how easily teams can deliver value to their customers. We were happy to find a way to measure these interactions; we used the Team Topologies author's assessment which gives you an understanding of how easy or difficult the teams find it to build, test and maintain their services. By measuring team cognitive load, we could better understand how to change teams structure and evolve interactions.</br>
<a href=""https://github.com/TeamTopologies/Team-Cognitive-Load-Assessment"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
